match_id,balls_per_over,teams,innings,player,bowler,overs,maidens,runs,wickets,extraballs,noballs,wides,hat_trick
20061222_00011_WelltnS,6,2,1,1,"Vaas, WPUJC {b1974-1-27}",4,0,28,1,0,0,0,0
20061222_00011_WelltnS,6,2,1,2,"Maharoof, MF {b1984-9-7}",3,0,30,1,0,0,0,0
20061222_00011_WelltnS,6,2,1,3,"Fernando, CRD {b1979-7-19}",3,0,36,0,0,0,0,0
20061222_00011_WelltnS,6,2,1,4,"Muralitharan, M {b1972-4-17}",4,0,27,2,0,0,2,0
20061222_00011_WelltnS,6,2,1,5,"Jayasuriya, ST {b1969-6-30}",4,0,21,3,0,0,1,0
20061222_00011_WelltnS,6,2,1,6,"Jayawardena, DPMD {b1977-5-27}",1,0,8,0,0,0,0,0
20061222_00011_WelltnS,6,2,1,7,"Silva, LPC {b1979-12-14}",1,0,4,1,0,0,0,0
20061226_00012_Aucklnd,6,1,1,1,"Malinga, SL {b1983-9-4}",3,0,15,0,0,0,1,0
20061226_00012_Aucklnd,6,1,1,2,"Perera, PDRL {b1977-4-6}",4,0,49,0,0,0,2,0
20061226_00012_Aucklnd,6,1,1,3,"Fernando, CRD {b1979-7-19}",4,0,19,3,0,0,0,0
20061226_00012_Aucklnd,6,1,1,4,"Dilshan, TM {b1976-10-14}",3,0,8,0,3,0,0,0
20061226_00012_Aucklnd,6,1,1,5,"Bandara, HMCM {b1979-12-31}",4,0,20,0,0,0,0,0
20061226_00012_Aucklnd,6,2,1,1,"Franklin, JEC {b1980-11-7}",4,0,23,3,0,1,0,0
20061226_00012_Aucklnd,6,2,1,2,"Mason, MJ {b1974-8-27}",3,0,19,1,0,0,3,0
20061226_00012_Aucklnd,6,2,1,3,"Gillespie, MR {b1979-10-17}",3,0,13,1,1,0,1,0
20061226_00012_Aucklnd,6,2,1,4,"Adams, AR {b1975-7-17}",4,0,20,2,0,0,1,0
20061226_00012_Aucklnd,6,2,1,5,"Astle, NJ {b1971-9-15}",2,0,30,1,5,0,0,0
20061226_00012_Aucklnd,6,2,1,6,"Patel, JS {b1980-5-7}",1,0,8,1,2,0,0,0
20070109_00013_Sydney,6,1,1,1,"Bracken, NW {b1977-9-12}",3,0,20,1,0,0,1,0
20070109_00013_Sydney,6,1,1,2,"Harwood, SM {b1974-3-1}",4,0,44,1,0,0,1,0
20070109_00013_Sydney,6,1,1,3,"Hilfenhaus, BW {b1983-3-15}",4,0,16,2,0,1,1,0
20070109_00013_Sydney,6,1,1,4,"Symonds, A {b1975-6-9}",4,0,24,2,0,0,3,0
20070109_00013_Sydney,6,1,1,5,"Hogg, GB {b1971-2-6}",3,0,24,0,0,0,0,0
20070109_00013_Sydney,6,1,1,6,"White, CL {b1983-8-18}",2,0,11,1,0,0,0,0
20070109_00013_Sydney,6,2,1,1,"Flintoff, A {b1977-12-6}",4,0,36,0,0,0,2,0
20070109_00013_Sydney,6,2,1,2,"Anderson, JM {b1982-7-30}",4,0,64,1,0,0,0,0
20070109_00013_Sydney,6,2,1,3,"Panesar, MS {b1982-4-25}",4,0,40,2,0,0,0,0
20070109_00013_Sydney,6,2,1,4,"Lewis, J {b1975-8-26}",3,0,31,0,0,0,0,0
20070109_00013_Sydney,6,2,1,5,"Dalrymple, JWM {b1981-1-21}",1,0,12,0,0,0,0,0
20070109_00013_Sydney,6,2,1,6,"Collingwood, PD {b1976-5-26}",4,0,36,1,0,0,0,0
20070202_00014_Wandrer,6,1,1,1,Naved-ul-Hasan {b1978-2-28},3,0,29,0,0,1,0,0
20070202_00014_Wandrer,6,1,1,2,Shabbir Ahmed {b1976-4-21},2,0,19,0,0,1,2,0
20070202_00014_Wandrer,6,1,1,3,Abdul Razzaq {b1979-12-2},2,0,28,0,0,1,0,0
20070202_00014_Wandrer,6,1,1,4,Abdur Rehman {b1980-3-1},3,0,36,0,0,0,2,0
20070202_00014_Wandrer,6,1,1,5,Shahid Afridi (P) {b1980-3-1},1,0,19,0,3,0,0,0
20070202_00014_Wandrer,6,2,1,1,"Pollock, SM {b1973-7-16}",4,0,26,1,0,0,0,0
20070202_00014_Wandrer,6,2,1,2,"Thomas, AC {b1977-2-9}",4,0,25,3,0,0,2,0
20070202_00014_Wandrer,6,2,1,3,"Telemachus, R {b1973-3-27}",4,0,22,1,0,0,2,0
20070202_00014_Wandrer,6,2,1,4,"van der Wath, JJ {b1978-1-10}",3,0,23,1,0,0,1,0
20070202_00014_Wandrer,6,2,1,5,"Morkel, JA {b1981-6-10}",4,1,16,1,0,0,1,0
20070202_00014_Wandrer,6,2,1,6,"Kemp, JM {b1977-10-2}",1,0,5,0,0,0,1,0
20070628_00015_TheOval,6,1,1,1,"Powell, DBL {b1978-4-15}",3,0,39,0,0,0,2,0
20070628_00015_TheOval,6,1,1,2,"Rampaul, R {b1984-10-15}",4,0,26,0,0,0,0,0
20070628_00015_TheOval,6,1,1,3,"Smith, DR {b1983-4-12}",4,0,24,3,0,0,0,0
20070628_00015_TheOval,6,1,1,4,"Sammy, DJG {b1983-12-20}",4,0,37,2,0,0,0,0
20070628_00015_TheOval,6,1,1,5,"Samuels, MN {b1981-2-5}",4,0,52,0,0,0,1,0
20070628_00015_TheOval,6,1,1,6,"Bravo, DJ {b1983-10-7}",1,0,6,0,0,0,0,0
