match_id,team,teams,venue,venue_country,venue_location,competition,match_status,series_no,comp_match_no,captain,wicketkeeper,umpire1,umpire2,umpire3,umpire4,player1_of_match_team,player1_of_match,player2_of_match_team,player2_of_match,player3_of_match_team,player3_of_match,player4_of_match_team,player4_of_match,toss_winner,season_start_year,season_end_year,start_date,end_date,inns_per_side,overs_per_inns,days_for_match,winner,result_type,winning_margin,follow_on,reduced_balls,amended_target,amended_balls,innings,wickets,declared,runs,wides,noballs,byes,legbyes,penalties,time,team_batted,rest_days
20110411_00234_Calcutt,Kolkata Knight Riders,1,Kolkata (Calcutta),India,Kolkata Knight Riders,Indian Premier League,ordinary,293,6,"Gambhir, G {b1981-10-14}","Bisla, M {b1984-12-27}","Koertzen, RE","Tarapore, SK",NA,NA,Kolkata Knight Riders,"Kallis, JH {b1975-10-16}",NA,NA,NA,NA,NA,NA,Kolkata Knight Riders,2011,2011,2011-04-11,2011-04-11,1,20,1,Kolkata Knight Riders,runs,9,0,NA,NA,NA,1,4,0,163,3,0,5,2,0,80,1,0
20110411_00234_Calcutt,Deccan Chargers,2,Kolkata (Calcutta),India,Kolkata Knight Riders,Indian Premier League,ordinary,293,6,"Sangakkara, KC {b1977-10-27}","Sangakkara, KC {b1977-10-27}","Koertzen, RE","Tarapore, SK",NA,NA,Kolkata Knight Riders,"Kallis, JH {b1975-10-16}",NA,NA,NA,NA,NA,NA,Kolkata Knight Riders,2011,2011,2011-04-11,2011-04-11,1,20,1,Kolkata Knight Riders,runs,9,0,NA,NA,NA,1,8,0,154,4,0,2,3,0,80,1,0
20110412_00235_Jaipur,Delhi Capitals,1,Jaipur,India,Rajasthan Royals,Indian Premier League,ordinary,293,7,"Sehwag, V {b1978-10-20}","Ojha, NV {b1983-7-20}",Aleem Dar,"Tiffin, RB",NA,NA,Rajasthan Royals,"Warne, SK {b1969-9-13}",NA,NA,NA,NA,NA,NA,Delhi Capitals,2011,2011,2011-04-12,2011-04-12,1,20,1,Rajasthan Royals,wickets,6,0,NA,NA,NA,1,6,0,151,3,2,0,4,0,80,1,0
20110412_00235_Jaipur,Rajasthan Royals,2,Jaipur,India,Rajasthan Royals,Indian Premier League,ordinary,293,7,"Warne, SK {b1969-9-13}","Paunikar, AG {b1988-4-18}",Aleem Dar,"Tiffin, RB",NA,NA,Rajasthan Royals,"Warne, SK {b1969-9-13}",NA,NA,NA,NA,NA,NA,Delhi Capitals,2011,2011,2011-04-12,2011-04-12,1,20,1,Rajasthan Royals,wickets,6,0,NA,NA,NA,1,4,0,152,1,2,4,5,0,75,1,0
20110412_00236_Bangalr,Royal Challengers Bangalore,1,Bangalore,India,Royal Challengers Bangalore,Indian Premier League,ordinary,293,8,"Vettori, DL {b1979-1-27}","de Villiers, AB {b1984-2-17}","Dharmasena, HDPK","Hill, AL",NA,NA,Mumbai Indians,"Tendulkar, SR {b1973-4-24}",NA,NA,NA,NA,NA,NA,Mumbai Indians,2011,2011,2011-04-12,2011-04-12,1,20,1,Mumbai Indians,wickets,9,0,NA,NA,NA,1,4,0,140,4,0,4,7,0,80,1,0
20110412_00236_Bangalr,Mumbai Indians,2,Bangalore,India,Royal Challengers Bangalore,Indian Premier League,ordinary,293,8,"Tendulkar, SR {b1973-4-24}","Jacobs, DJ {b1982-11-4}","Dharmasena, HDPK","Hill, AL",NA,NA,Mumbai Indians,"Tendulkar, SR {b1973-4-24}",NA,NA,NA,NA,NA,NA,Mumbai Indians,2011,2011,2011-04-12,2011-04-12,1,20,1,Mumbai Indians,wickets,9,0,NA,NA,NA,1,1,0,143,1,1,0,1,0,75,1,0
20110413_00237_Mohali,Chennai Super Kings,1,Mohali,India,Punjab Kings,Indian Premier League,ordinary,293,9,"Dhoni, MS {b1981-7-7}","Dhoni, MS {b1981-7-7}",Asad Rauf,"Shastri, SL",NA,NA,Punjab Kings,"Valthaty, PC {b1983-12-7}",NA,NA,NA,NA,NA,NA,Punjab Kings,2011,2011,2011-04-13,2011-04-13,1,20,1,Punjab Kings,wickets,6,0,NA,NA,NA,1,4,0,188,1,1,0,3,0,80,1,0
20110413_00237_Mohali,Punjab Kings,2,Mohali,India,Punjab Kings,Indian Premier League,ordinary,293,9,"Gilchrist, AC {b1971-11-14}","Gilchrist, AC {b1971-11-14}",Asad Rauf,"Shastri, SL",NA,NA,Punjab Kings,"Valthaty, PC {b1983-12-7}",NA,NA,NA,NA,NA,NA,Punjab Kings,2011,2011,2011-04-13,2011-04-13,1,20,1,Punjab Kings,wickets,6,0,NA,NA,NA,1,4,0,193,1,0,0,0,0,80,1,0
20110413_00238_MmbDYP,Kochi Tuskers Kerala,1,Mumbai (DY Patil),India,Mumbai Indians,Indian Premier League,ordinary,293,10,"Jayawardena, DPMD {b1977-5-27}","Patel, PA {b1985-3-9}","Asnani, S","Reiffel, PR",NA,NA,Pune Warriors,"Mishra, MD {b1984-2-9}",NA,NA,NA,NA,NA,NA,Kochi Tuskers Kerala,2011,2011,2011-04-13,2011-04-13,1,20,1,Pune Warriors,wickets,4,0,NA,NA,NA,1,8,0,148,6,1,1,3,0,80,1,0
20110413_00238_MmbDYP,Pune Warriors,2,Mumbai (DY Patil),India,Mumbai Indians,Indian Premier League,ordinary,293,10,Yuvraj Singh {b1981-12-12},"Uthappa, RV {b1985-11-11}","Asnani, S","Reiffel, PR",NA,NA,Pune Warriors,"Mishra, MD {b1984-2-9}",NA,NA,NA,NA,NA,NA,Kochi Tuskers Kerala,2011,2011,2011-04-13,2011-04-13,1,20,1,Pune Warriors,wickets,4,0,NA,NA,NA,1,6,0,151,10,0,0,1,0,75,1,0
20110414_00239_HydRSG,Deccan Chargers,1,Hyderabad (RGS),India,Deccan Chargers,Indian Premier League,ordinary,293,11,"Sangakkara, KC {b1977-10-27}","Sangakkara, KC {b1977-10-27}","Koertzen, RE","Ravi, S",NA,NA,Deccan Chargers,"Steyn, DW {b1983-6-27}",NA,NA,NA,NA,NA,NA,Royal Challengers Bangalore,2011,2011,2011-04-14,2011-04-14,1,20,1,Deccan Chargers,runs,33,0,NA,NA,NA,1,5,0,175,3,2,0,2,0,0,1,0
