match_id,teams,innings,retired,player,wickets,teamscore,playerruns,resumewickets,resumeruns
20180928_04048_Dubai,2,1,1,"Jadhav, KM {b1985-3-26}",5,167,19,6,212
20181109_04068_AbDhab,2,1,1,Imam-ul-Haq {b1995-12-12},0,54,16,NA,NA
20181211_04072_Mirpur,1,1,1,Liton Das {b1994-10-13},0,11,5,5,208
20190310_04110_Dhradn,1,1,1,Asghar Stanikzai {b1987-2-22},6,206,82,NA,NA
20190505_04128_Dublin,2,1,1,"Balbirnie, A {b1990-12-28}",3,63,28,4,152
20190515_04136_Dublin,2,1,1,Shakib Al Hasan {b1987-3-24},3,247,50,NA,NA
20190517_04138_TrentBr,1,1,1,Imam-ul-Haq {b1995-12-12},0,9,3,7,319
20190530_04143_TheOval,2,1,1,"Amla, HM {b1983-3-31}",0,14,5,6,167
20190705_04186_Lord's,1,1,1,Sarfraz Ahmed {b1987-5-22},5,267,2,9,314
20190706_04188_OldTraf,2,1,1,"Khawaja, UT {b1986-12-18}",1,20,6,7,275
20200301_04249_Sylhet,1,1,1,Liton Das {b1994-10-13},3,206,126,NA,NA
20210604_04294_Utrcht,1,1,1,Saqib Zulfiqar {b1997-3-28},5,110,2,9,146
20210726_04313_Bridgtn,1,1,1,"Lewis, E {b1991-12-27}",0,14,5,5,71
20210902_04314_ColmboR,2,1,1,"Bavuma, T {b1990-5-17}",1,155,38,NA,NA
20220108_04339_Kingstn,2,1,1,"McBrine, AR {b1993-4-30}",1,62,34,NA,NA
20220308_04362_DubaiI,2,1,1,Waseem Muhammad {b1994-2-12},0,6,0,3,37
20220415_04388_Dubai,2,1,1,"Berrington, RD {b1987-4-3}",5,155,73,7,204
20220619_04414_ColmboR,2,1,1,"Mendis, BKG {b1995-2-2}",1,212,87,NA,NA
20220805_04441_Harare,1,1,1,Liton Das {b1994-10-13},1,171,81,NA,NA
20220822_04457_Harare,2,1,1,"Kaitano, T {b1993-6-15}",1,36,12,4,120
20230118_04507_Harare,1,1,1,"Balbirnie, A {b1990-12-28}",2,237,15,0,0
20230405_04566_Windhok,2,1,1,"Amini, CJA {b1992-4-14}",4,64,7,8,118
20230604_04581_Sharjah,1,1,1,Rameez Shahzad {b1987-11-30},2,53,12,3,100
20230621_04592_Bulaway,2,1,1,Shoaib Khan {b0-0-0},3,116,47,5,198
20230629_04605_BulawyQ,2,1,1,Zeeshan Maqsood {b1987-10-24},2,156,23,8,294
20230822_04625_Hmbtta,2,1,1,Azmatullah Omarzai {b2000-3-24},7,54,16,NA,NA
20230903_04631_LahoreG,1,1,1,Mehidy Hasan Miraz {b1997-10-25},2,257,112,NA,NA
20230907_04635_Bloemfn,2,1,1,"Green, CD {b1999-6-3}",2,38,0,NA,NA
20230915_04646_CnturPk,2,1,1,"Head, TM {b1993-12-29}",2,53,17,NA,NA
20231013_04668_Chepauk,2,1,1,"Williamson, KS {b1990-8-8}",2,200,15,0,0
20231115_04703_Wankhed,1,1,1,"Gill, Sh {b1999-9-8}",1,164,79,4,382
20231223_04717_Napier,2,1,1,Soumya Sarkar {b1993-2-25},0,15,4,NA,NA
20240920_04768_Windhok,1,1,1,"Frylinck, JN {b1994-4-4}",1,148,3,5,219
20241004_04781_AbDhab,1,1,1,"Bavuma, T {b1990-5-17}",0,68,35,NA,NA
20241110_04804_PerSta,1,1,1,"Connolly, CPL {b2003-8-22}",4,79,7,NA,NA
20250111_04824_Aucklnd,1,1,1,"Nissanka, P {b1998-5-18}",0,66,50,4,183
20250402_04862_Hamiltn,2,1,1,Haris Rauf {b1993-11-7},7,93,3,NA,NA
20250405_04863_MtManB,2,1,1,Imam-ul-Haq {b1995-12-12},0,5,1,NA,NA
20251011_04908_AbDhab,1,1,1,Rahmat Shah {b1993-7-6},2,65,9,NA,NA
20251030_04920_Dubai,2,1,1,"Chopra, R {b1994-11-7}",2,118,15,NA,NA
